Řádek 31 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; posouzení změnových listů č. 002.28, 002.29.III, 002.29.IV a 020.I | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: BEWERT spol. s r.o. | smluvni_cena_bez_dph_kc: 135000.0 | datum_uzavreni_smlouvy: 2024-01-02
Řádek 36 | nazev_zakazky: Objednávka ZP - parc. č. 221/235 k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: JAROSLAV SEMRÁD | smluvni_cena_bez_dph_kc: 4500.0 | datum_uzavreni_smlouvy: 2024-01-03
Řádek 39 | nazev_zakazky: Právní služby k prodeji pozemků v k.ú. Černý Most, Stodůlky a Libeň – leden 2024 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Balcar Petr, JUDr., advokát | smluvni_cena_bez_dph_kc: 148350.0 | datum_uzavreni_smlouvy: 2024-01-04
Řádek 214 | nazev_zakazky: Projektová dokumentace nového mostu v Letenských sadech | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: STATICKÁ spol. s r. o. | smluvni_cena_bez_dph_kc: 98843.0 | datum_uzavreni_smlouvy: 2022-04-24
Řádek 311 | nazev_zakazky: Objednávka zajištění provozu Polytechnických hnízd - výuka polytechniky pro základní školy ve druhém pololetí šk. r. 2024/2025 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Střední průmyslová škola dopravní, a.s. | smluvni_cena_bez_dph_kc: 123425.0 | datum_uzavreni_smlouvy: 2025-03-26
Řádek 325 | nazev_zakazky: č.44813 Lávka Uhříněves, obj. na služby, vyhotovení geometrického plánu pro opěry mostu a návazné chodníky | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: JC PLAN, s.r.o. | smluvni_cena_bez_dph_kc: 14300.0 | datum_uzavreni_smlouvy: 2023-09-01
Řádek 345 | nazev_zakazky: Stavba č. 45708 Černý Most II – objekty O a P; příprava pozemku k zahájení stavby | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: SYBEKA, s.r.o. | smluvni_cena_bez_dph_kc: 74992.0 | datum_uzavreni_smlouvy: 2022-04-14
Řádek 359 | nazev_zakazky: Zpracování projektové dokumentace na přeložku dvou stožárů z chodníku nájezdu na Barrandovský most | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Technologie Hlavního města Prahy, a.s. | smluvni_cena_bez_dph_kc: 98000.0 | datum_uzavreni_smlouvy: 2021-07-29
Řádek 427 | nazev_zakazky: Stavba č. 64338 Hloubětínský tunel; podchody a návazné komunikace v oblasti železničního mostu přes Kbelskou ulici | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Bratři Gallové & spol. s.r.o. | smluvni_cena_bez_dph_kc: 400720.0 | datum_uzavreni_smlouvy: 2022-08-10
Řádek 505 | nazev_zakazky: Objednávka na zajištění stravování olympioniků v rámci ODM 2026 - Střední průmyslová škola elektrotechnická | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Střední průmyslová škola elektrotechnická, Praha 2, Ječná 30 | smluvni_cena_bez_dph_kc: 58500.0 | datum_uzavreni_smlouvy: 2026-06-04
Řádek 661 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; dočasný správce stavby | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Inženýring dopravních staveb a.s. | smluvni_cena_bez_dph_kc: 15900000.0 | datum_uzavreni_smlouvy: 2022-05-10
